"Tabell 4A: Döda juli-december 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,4,2,1
D48.9,"Ospecificerad lokalisation av tumör av osäker eller okänd natur",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-
"D50-D89","KAP III. SJUKDOMAR I BLOD OCH BLODBILDANDE ORGAN SAMT VISSA RUBBNINGAR I IMMUNSYSTEMET",Kv,94,1,1,-,-,-,-,-,2,1,-,-,1,1,1,2,3,9,11,23,25,13
,,M,49,-,-,-,-,-,-,-,-,-,1,2,1,-,3,2,2,3,12,9,10,4
D50-D53,Nutritionsanemier,Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,7,4
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
D50.0,"Järnbristanemi sekundär till kronisk blodförlust",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D50.9,"Järnbristanemi, ospecificerad",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,5,2
D51.0,"Anemi på grund av vitamin B12-brist",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D52.9,"Folatbristanemi, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D53.9,"Nutritionsanemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D55-D59,"Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar)",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
,,M,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-
D57.1,"Sicklecellsanemi utan kris",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
D58.9,"Hereditär hemolytisk anemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
D59.1,"Andra autoimmuna hemolytiska anemier",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
D59.3,"Hemolytiskt-uremiskt syndrom",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
D60-D64,"Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier",Kv,45,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,3,6,15,12,6
,,M,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,7,7,3
D60.0,"Kronisk förvärvad isolerad aplasi av röda blodkroppar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D61.8,"Andra specificerade aplastiska anemier",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
D61.9,"Aplastisk anemi, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
D62,"Anemi efter akut större blödning",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D64.0,"Hereditär sideroblastisk anemi",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D64.8,"Andra specificerade anemier",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D64.9,"Anemi, ospecificerad",Kv,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4,14,10,6
,,M,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,5,7,3
D65-D69,"Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd",Kv,11,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1,1,2,2,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D65,"Disseminerad intravasal koagulation [defibrineringssyndrom]",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D68.5,"Primär trombofili",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D68.9,"Koagulationsrubbning, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
D69.3,"Idiopatisk trombocytopen purpura",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1
D69.6,"Trombocytopeni, ospecificerad",Kv,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D70-D77,"Andra sjukdomar i blod och blodbildande organ",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,3,1
,,M,7,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,-,1,1,1
D70,Agranulocytos,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
D73.3,Mjältabscess,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D73.5,Mjältinfarkt,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D75.1,"Sekundär polycytemi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D75.8,"Andra specificerade sjukdomar i blod och blodbildande organ",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D75.9,"Sjukdom i blod och blodbildande organ, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D76.1,"Hemofagocytisk lymfohistiocytos",M,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
D80-D89,"Vissa rubbningar i immunsystemet",Kv,10,-,1,-,-,-,-,-,1,-,-,-,1,1,-,-,-,4,-,1,1,-
,,M,8,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,1,1,-,1,-
D81.9,"Kombinerad immunbrist, ospecificerad",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D84.9,"Immunbrist, ospecificerad",Kv,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-
D86.0,Lungsarkoidos,Kv,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
D86.9,"Sarkoidos, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-
D89.1,Kryoglobulinemi,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D89.8,"Andra specificerade sjukdomar som engagerar immunsystemet som ej klassificeras på annan plats",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
"E00-E90","KAP IV. ENDOKRINA SJUKDOMAR, NUTRITIONSRUBBNINGAR OCH ÄMNESOMSÄTTNINGSSJUKDOMAR",Kv,689,-,-,-,-,1,1,1,-,1,3,4,7,14,16,38,50,87,128,132,134,72
,,M,720,3,-,-,1,1,-,2,2,1,5,9,13,18,38,44,96,105,148,133,81,20
E00-E07,"Sjukdomar i sköldkörteln",Kv,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,12,10,5
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
E03.9,"Hypotyreos, ospecificerad",Kv,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,10,6,3
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E04.9,"Atoxisk struma, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E05.0,"Tyreotoxikos med diffus struma",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E05.2,"Tyreotoxikos med toxisk multinodulär struma",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E05.9,"Tyreotoxikos, ospecificerad",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2
E06.3,"Autoimmun tyreoidit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E07.9,"Sjukdom i sköldkörteln, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E10-E14,Diabetes,Kv,500,-,-,-,-,-,1,-,-,1,2,3,7,13,10,26,39,63,95,96,99,45
,,M,569,-,-,-,-,-,-,2,-,-,4,8,9,11,26,35,76,80,122,110,70,16
E10.0,"Diabetes mellitus typ 1-Med koma",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
E10.1,"Diabetes mellitus typ 1-Med ketoacidos",Kv,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,4,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-
E10.2,"Diabetes mellitus typ 1-Med njurkomplikationer",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,-,-,-,-
E10.5,"Diabetes mellitus typ 1-Med perifera cirkulationsrubbningar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-
E10.6,"Diabetes mellitus typ 1-Med andra specificerade komplikationer",Kv,5,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,2,-,-,-,-,-
,,M,12,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,-,1,3,-,1,-
E10.7,"Diabetes mellitus typ 1-Med multipla komplikationer",Kv,13,-,-,-,-,-,-,-,-,-,-,-,2,2,2,1,2,2,1,1,-,-
,,M,14,-,-,-,-,-,-,-,-,-,1,2,2,-,-,1,1,3,3,1,-,-
E10.9,"Diabetes mellitus typ 1-Utan komplikationer",Kv,6,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,1,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-
E11.0,"Diabetes mellitus typ 2-Med koma",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E11.1,"Diabetes mellitus typ 2-Med ketoacidos",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
E11.2,"Diabetes mellitus typ 2-Med njurkomplikationer",Kv,52,-,-,-,-,-,-,-,-,-,-,1,1,3,-,2,2,9,12,5,14,3
,,M,54,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,4,9,11,17,4,3
E11.4,"Diabetes mellitus typ 2-Med neurologiska komplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E11.5,"Diabetes mellitus typ 2-Med perifera cirkulationsrubbningar",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,4,3
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,3,3,1,-
E11.6,"Diabetes mellitus typ 2-Med andra specificerade komplikationer",Kv,64,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,10,5,10,11,13,9
,,M,86,-,-,-,-,-,-,-,-,-,-,1,1,1,1,6,20,12,19,13,10,2
E11.7,"Diabetes mellitus typ 2-Med multipla komplikationer",Kv,56,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,2,6,16,18,7,1
,,M,66,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,8,4,17,21,9,-
E11.8,"Diabetes mellitus typ 2-Med ospecificerade komplikationer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E11.9,"Diabetes mellitus typ 2-Utan komplikationer",Kv,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,9,13,15,15,11
,,M,54,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,7,6,13,8,10,3
E14.0,"Ospecificerad diabetes-Med koma",Kv,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,1,-,-,-,-
E14.1,"Ospecificerad diabetes-Med ketoacidos",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,1
,,M,12,-,-,-,-,-,-,1,-,-,1,2,1,1,1,2,-,2,-,-,1,-
E14.2,"Ospecificerad diabetes-Med njurkomplikationer",Kv,26,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,4,5,6,4,5,-
,,M,50,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,7,7,12,13,5,2
E14.3,"Ospecificerad diabetes-Med ögonkomplikationer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E14.4,"Ospecificerad diabetes-Med neurologiska komplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E14.5,"Ospecificerad diabetes-Med perifera cirkulationsrubbningar",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,2,1,2
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,5,-,2,-
E14.6,"Ospecificerad diabetes-Med andra specificerade komplikationer",Kv,71,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,3,10,11,14,18,7
,,M,72,-,-,-,-,-,-,-,-,-,-,-,-,1,3,7,7,10,18,18,5,3
E14.7,"Ospecificerad diabetes-Med multipla komplikationer",Kv,31,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,5,4,7,5,4,3
,,M,50,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,8,10,12,7,7,1
E14.8,"Ospecificerad diabetes-Med ospecificerade komplikationer",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E14.9,"Ospecificerad diabetes-Utan komplikationer",Kv,64,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,5,4,12,17,16,5
,,M,45,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,6,9,3,7,13,2
E15-E16,"Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
E16.2,"Hypoglykemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
E20-E35,"Sjukdomar i andra endokrina körtlar",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E21.0,"Primär hyperparatyreoidism",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E23.0,Hypopituitarism,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E27.4,"Annan och ospecificerad binjurebarksinsufficiens",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E40-E46,Näringsbrist,Kv,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,7,7,4,9
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,4,3,2,1
E41,"Svår energiundernäring",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E43,"Icke specificerad svår undernäring",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-
E46,"Icke specificerad protein-energiundernäring",Kv,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,6,5,4,8
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,1,1
E50-E64,"Andra näringsbristtillstånd",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
E53.8,"Brist på andra specificerade vitaminer i B-gruppen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E63.9,"Näringsbristtillstånd, ospecificerat",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E64.0,"Sena effekter av protein-energiundernäring",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E65-E68,"Fetma och andra övernäringstillstånd",Kv,20,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,3,2,3,1,1,1
,,M,22,-,-,-,-,-,-,-,-,-,-,1,1,1,5,1,6,2,4,1,-,-
E66.2,"Extrem fetma med alveolär hypoventilation",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,1,-,1,-,-
E66.9,"Fetma, ospecificerad",Kv,17,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,2,1,3,1,1,1
,,M,15,-,-,-,-,-,-,-,-,-,-,1,1,1,3,1,3,1,4,-,-,-
E70-E90,Ämnesomsättningssjukdomar,Kv,91,-,-,-,-,1,-,1,-,-,1,1,-,1,3,4,5,14,18,14,17,11
,,M,106,3,-,-,1,1,-,-,2,1,1,-,3,5,6,8,13,19,16,17,7,3
E71.3,"Rubbningar i fettsyraomsättningen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E74.0,Glykogeninlagringssjukdom,Kv,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E75.2,"Andra specificerade sfingolipidoser",Kv,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E75.4,"Neuronal ceroid lipofuscinos",M,3,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
E76.1,"Mukopolysackaridos, typ II",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E76.3,"Mukopolysackaridos, ospecificerad",Kv,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E78.0,"Isolerad hyperkolesterolemi",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-
E78.5,"Hyperlipidemi, ospecificerad",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,3,3,3,-
,,M,22,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,5,3,4,3,4,-
E78.9,"Rubbning i omsättningen av lipoprotein, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E83.1,"Rubbningar i järnomsättningen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E83.5,"Rubbningar i kalciumomsättningen",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E84.0,"Cystisk fibros med lungmanifestationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E84.1,"Cystisk fibros med intestinala manifestationer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E84.8,"Cystisk fibros med andra manifestationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E85.1,"Neuropatisk heredofamiljär amyloidos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
E85.4,"Organbegränsad amyloidos",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
,,M,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,1,5,-,-
E85.8,"Annan amyloidos",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
E85.9,"Amyloidos, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,2,1,4,-,-
E86,"Minskad vätskevolym",Kv,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,5,8,8
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,1,1
E87.0,"Hyperosmolalitet och hypernatremi",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,-,1,1
E87.1,"Hyposmolalitet och hyponatremi",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
E87.2,Acidos,Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-
,,M,10,-,-,-,-,-,-,-,1,-,-,-,1,1,4,2,-,1,-,-,-,-
E87.6,Hypokalemi,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,1,-
E87.8,"Andra elektrolyt- och vätskerubbningar som ej klassificeras på annan plats",Kv,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
E88.0,"Rubbningar i plasmaproteinomsättningen som ej klassificeras på annan plats",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E88.8,"Andra specificerade ämnesomsättningssjukdomar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
E88.9,"Ämnesomsättningssjukdom, ospecificerad",M,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"F00-F99","KAP V. PSYKISKA SJUKDOMAR OCH BETEENDESTÖRNINGAR",Kv,1869,-,-,-,-,-,-,-,1,1,2,-,-,7,7,12,47,107,245,464,604,372
,,M,1053,-,-,-,-,-,-,-,1,2,1,2,6,9,15,28,56,129,210,302,218,74
F00-F09,"Organiska, inklusive symtomatiska, psykiska störningar",Kv,1785,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,38,101,232,450,594,366
,,M,943,-,-,-,-,-,-,-,-,-,-,-,-,2,4,10,34,107,201,296,217,72
F01.1,Multiinfarktdemens,Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,1
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,-,-
F01.2,"Subkortikal vaskulär demens",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
F01.3,"Blandad kortikal och subkortikal vaskulär demens",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
F01.9,"Vaskulär demens, ospecificerad",Kv,439,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,27,57,115,154,77
,,M,267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,11,28,54,87,67,15
F03,"Ospecificerad demens",Kv,1331,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,29,74,173,333,432,287
,,M,666,-,-,-,-,-,-,-,-,-,-,-,-,2,4,5,23,73,144,208,150,57
F05.9,"Delirium, ospecificerat",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
