"Tabell4A:Dödajanuari-juni2021efterunderliggandedödsorsakenligtICD:sdetaljlista,könochålder.Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
,,M,63,-,1,1,-,-,-,-,-,-,-,-,4,2,3,3,4,7,8,11,13,6
D50-D53,Nutritionsanemier,Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,5,2
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
D50.0,Järnbristanemi sekundär till kronisk blodförlust,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
D50.9,"Järnbristanemi, ospecificerad",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,4,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
D53.0,Proteinbristanemi,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D55-D59,Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar),Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1
D56.9,"Talassemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D58.9,"Hereditär hemolytisk anemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D59.1,Andra autoimmuna hemolytiska anemier,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D59.9,"Förvärvad hemolytisk anemi, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D60-D64,Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier,Kv,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,7,11,22,8
,,M,34,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,4,6,11,5
D61.9,"Aplastisk anemi, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-
D62,Anemi efter akut större blödning,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D64.0,Hereditär sideroblastisk anemi,M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D64.9,"Anemi, ospecificerad",Kv,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,8,21,8
,,M,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,2,6,10,5
D65-D69,"Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,-
D65,Disseminerad intravasal koagulation [defibrineringssyndrom],Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D66,Ärftlig brist på faktor VIII,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D68.0,von Willebrands sjukdom,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D68.6,Annan trombofili,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D68.9,"Koagulationsrubbning, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D69.3,Idiopatisk trombocytopen purpura,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
D70-D77,Andra sjukdomar i blod och blodbildande organ,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,2,2,-,-
D70,Agranulocytos,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-
D73.5,Mjältinfarkt,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D75.9,"Sjukdom i blod och blodbildande organ, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D76.1,Hemofagocytisk lymfohistiocytos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
D76.2,"Hemofagocytiskt syndrom, infektionsassocierat",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D76.3,Andra histiocytossyndrom,M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
D80-D89,Vissa rubbningar i immunsystemet,Kv,8,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,2,-,1,-
,,M,10,-,-,1,-,-,-,-,-,-,-,-,2,1,-,1,-,4,1,-,-,-
D80.3,Selektiv brist på immunglobulin G [IgG]-subklasser,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D83.9,"Vanlig variabel immunbrist, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
D84.8,Annan specificerad immunbrist,M,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D86.0,Lungsarkoidos,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D86.8,Sarkoidos med andra och kombinerade lokalisationer,Kv,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
D86.9,"Sarkoidos, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,-,-,-
D89.8,Andra specificerade sjukdomar som engagerar immunsystemet som ej klassificeras på annan plats,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E00-E90,"KAP IV. ENDOKRINA SJUKDOMAR, NUTRITIONSRUBBNINGAR OCH ÄMNESOMSÄTTNINGSSJUKDOMAR",Kv,682,1,-,-,-,1,-,1,-,2,4,6,1,13,18,18,54,74,123,140,145,81
,,M,756,2,5,-,1,-,-,1,2,1,4,12,8,22,38,60,94,141,131,136,70,28
E00-E07,Sjukdomar i sköldkörteln,Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,6,5,7
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E03.9,"Hypotyreos, ospecificerad",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,5
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E04.9,"Atoxisk struma, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E05.0,Tyreotoxikos med diffus struma,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
E05.9,"Tyreotoxikos, ospecificerad",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,1
E10-E14,Diabetes,Kv,489,-,-,-,-,-,-,1,-,1,2,5,-,9,8,12,35,51,96,109,108,52
,,M,590,-,-,-,-,-,-,-,2,1,3,10,7,18,28,44,73,115,104,109,51,25
E10.0,Diabetes mellitus typ 1-Med koma,Kv,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-
E10.1,Diabetes mellitus typ 1-Med ketoacidos,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-
E10.2,Diabetes mellitus typ 1-Med njurkomplikationer,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,-,-
E10.5,Diabetes mellitus typ 1-Med perifera cirkulationsrubbningar,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E10.6,Diabetes mellitus typ 1-Med andra specificerade komplikationer,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-
E10.7,Diabetes mellitus typ 1-Med multipla komplikationer,Kv,5,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,2,-,-,-
,,M,11,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,4,-,1,-,-
E10.9,Diabetes mellitus typ 1-Utan komplikationer,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,2,1,-,-,-
E11.0,Diabetes mellitus typ 2-Med koma,Kv,3,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-
E11.1,Diabetes mellitus typ 2-Med ketoacidos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,1,-,-,-,-
E11.2,Diabetes mellitus typ 2-Med njurkomplikationer,Kv,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,8,12,19,14,2
,,M,66,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,5,15,13,12,9,4
E11.3,Diabetes mellitus typ 2-Med ögonkomplikationer,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E11.5,Diabetes mellitus typ 2-Med perifera cirkulationsrubbningar,Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,5,2,-
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,2,3,2,1
E11.6,Diabetes mellitus typ 2-Med andra specificerade komplikationer,Kv,65,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,7,9,8,9,20,8
,,M,59,-,-,-,-,-,-,-,-,1,-,1,-,1,2,4,6,13,13,11,6,1
E11.7,Diabetes mellitus typ 2-Med multipla komplikationer,Kv,44,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,4,7,10,10,5,3
,,M,66,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,9,13,13,11,7,4
E11.8,Diabetes mellitus typ 2-Med ospecificerade komplikationer,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E11.9,Diabetes mellitus typ 2-Utan komplikationer,Kv,68,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,4,1,11,14,21,14
,,M,59,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,5,14,13,13,8,2
E13.6,Annan specificerad diabetes-Med andra specificerade komplikationer,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E14.0,Ospecificerad diabetes-Med koma,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
,,M,21,-,-,-,-,-,-,-,2,-,2,2,-,3,3,3,2,3,1,-,-,-
E14.1,Ospecificerad diabetes-Med ketoacidos,Kv,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
,,M,19,-,-,-,-,-,-,-,-,-,1,2,-,3,4,4,2,3,-,-,-,-
E14.2,Ospecificerad diabetes-Med njurkomplikationer,Kv,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,9,8,7,1
,,M,46,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,6,7,11,11,3,4
E14.5,Ospecificerad diabetes-Med perifera cirkulationsrubbningar,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,5,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,1,2,1,-
E14.6,Ospecificerad diabetes-Med andra specificerade komplikationer,Kv,68,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,9,13,18,14,9
,,M,87,-,-,-,-,-,-,-,-,-,-,-,1,4,3,8,14,15,12,20,7,3
E14.7,Ospecificerad diabetes-Med multipla komplikationer,Kv,42,-,-,-,-,-,-,-,-,-,1,1,-,2,1,1,2,4,6,10,7,7
,,M,64,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3,5,11,15,20,2,5
E14.8,Ospecificerad diabetes-Med ospecificerade komplikationer,M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E14.9,Ospecificerad diabetes-Utan komplikationer,Kv,53,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,4,10,13,11,8
,,M,37,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,8,10,4,5,6,1
E15-E16,Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E16.2,"Hypoglykemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E20-E35,Sjukdomar i andra endokrina körtlar,Kv,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,-,1,-
E21.0,Primär hyperparatyreoidism,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E22.2,Abnorm sekretion av antidiuretiskt hormon,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E26.0,Primär hyperaldosteronism,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E27.1,Primär binjurebarksinsufficiens,Kv,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E27.2,Addisonkris,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E27.4,Annan och ospecificerad binjurebarksinsufficiens,M,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
E40-E46,Näringsbrist,Kv,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,5,6,10,12
,,M,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,4,4,4,7,-
E41,Svår energiundernäring,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
E43,Icke specificerad svår undernäring,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-
E46,Icke specificerad protein-energiundernäring,Kv,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2,5,9,10
,,M,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,2,2,5,-
E50-E64,Andra näringsbristtillstånd,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E63.9,"Näringsbristtillstånd, ospecificerat",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E65-E68,Fetma och andra övernäringstillstånd,Kv,26,-,-,-,-,-,-,-,-,-,-,-,1,2,6,1,2,6,3,4,1,-
,,M,23,-,-,-,-,-,-,1,-,-,-,1,1,1,2,4,6,1,3,2,1,-
E66.2,Extrem fetma med alveolär hypoventilation,Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,1,1,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-
E66.8,Annan specificerad fetma,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E66.9,"Fetma, ospecificerad",Kv,17,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,1,5,2,3,1,-
,,M,20,-,-,-,-,-,-,1,-,-,-,1,1,1,1,3,6,-,3,2,1,-
E70-E90,Ämnesomsättningssjukdomar,Kv,99,1,-,-,-,-,-,-,-,1,2,1,-,1,4,2,15,13,18,13,19,9
,,M,111,2,5,-,1,-,-,-,-,-,1,-,-,3,8,9,12,20,18,21,9,2
E71.3,Rubbningar i fettsyraomsättningen,Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E72.2,Rubbningar i urinämnesomsättningen,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E72.5,Rubbningar i glycinomsättningen,M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E74.8,Andra specificerade rubbningar i kolhydratomsättningen,Kv,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E75.2,Andra specificerade sfingolipidoser,Kv,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
,,M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E77.0,Post-translationell defekt i lysosomala enzymer,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E77.8,Andra specificerade rubbningar i omsättningen av glykoprotein,M,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E78.0,Isolerad hyperkolesterolemi,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-
E78.5,"Hyperlipidemi, ospecificerad",Kv,25,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,2,6,2,5,3
,,M,24,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,6,4,4,3,-
E78.9,"Rubbning i omsättningen av lipoprotein, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-
E80.2,Annan porfyri,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E83.0,Rubbningar i kopparomsättningen,Kv,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E83.5,Rubbningar i kalciumomsättningen,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
E84.8,Cystisk fibros med andra manifestationer,Kv,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
E85.1,Neuropatisk heredofamiljär amyloidos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E85.2,"Heredofamiljär amyloidos, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E85.3,Sekundär systemamyloidos,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E85.4,Organbegränsad amyloidos,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,1,-
,,M,18,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,4,5,3,2,-
E85.8,Annan amyloidos,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,1,-,-
E85.9,"Amyloidos, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,2,4,3,1,-
E86,Minskad vätskevolym,Kv,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,3,4,5,4
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,6,1,2
E87.0,Hyperosmolalitet och hypernatremi,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
E87.1,Hyposmolalitet och hyponatremi,Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1
E87.2,Acidos,Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,4,-,2,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-,-
E87.5,Hyperkalemi,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E87.7,Ökad vätskevolym,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E87.8,Andra elektrolyt- och vätskerubbningar som ej klassificeras på annan plats,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E88.0,Rubbningar i plasmaproteinomsättningen som ej klassificeras på annan plats,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,1,1,-
E88.8,Andra specificerade ämnesomsättningssjukdomar,M,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-
F00-F99,KAP V. PSYKISKA SJUKDOMAR OCH BETEENDESTÖRNINGAR,Kv,1724,-,-,-,-,-,1,1,-,1,1,2,4,2,10,21,32,114,248,404,539,344
,,M,1027,-,-,-,-,-,-,2,1,2,-,2,8,15,28,36,57,114,193,279,219,71
F00-F09,"Organiska, inklusive symtomatiska, psykiska störningar",Kv,1628,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,21,97,243,397,526,334
,,M,859,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,25,90,175,268,219,67
F01.1,Multiinfarktdemens,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,2,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
F01.2,Subkortikal vaskulär demens,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,-
F01.3,Blandad kortikal och subkortikal vaskulär demens,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
F01.9,"Vaskulär demens, ospecificerad",Kv,394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,23,69,98,117,82
,,M,244,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,8,23,51,76,62,21
F03,Ospecificerad demens,Kv,1223,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,16,74,170,299,405,250
,,M,606,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,17,66,123,191,154,45
F10-F19,Psykiska störningar och beteendestörningar orsakade av psykoaktiva substanser,Kv,40,-,-,-,-,-,-,-,-,-,-,1,3,2,6,9,7,8,1,1,2,-
,,M,143,-,-,-,-,-,-,1,1,2,-,2,8,14,22,23,30,18,15,6,-,1
F10.1,Psykiska störningar och beteendestörningar orsakade av alkohol-Skadligt bruk,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,1,-,-,-,-
,,M,29,-,-,-,-,-,-,-,-,-,-,-,-,2,4,6,6,3,6,1,-,1
F10.2,Psykiska störningar och beteendestörningar orsakade av alkohol-Beroendesyndrom,Kv,22,-,-,-,-,-,-,-,-,-,-,1,2,2,4,5,5,2,-,1,-,-
,,M,73,-,-,-,-,-,-,1,-,1,-,2,7,9,17,15,13,6,2,-,-,-
F10.3,Psykiska störningar och beteendestörningar orsakade av alkohol-Abstinens,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
F10.6,Psykiska störningar och beteendestörningar orsakade av alkohol-Amnesisyndrom,Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
F10.7,Psykiska störningar och beteendestörningar orsakade av alkohol-Psykotisk störning som resttillstånd eller med sen debut,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,-,-,-
,,M,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,5,4,4,-,-
F10.9,"Psykiska störningar och beteendestörningar orsakade av alkohol-Psykisk störning och beteendestörning, ospecificerad",M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-
F17.2,Tobaksberoende,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
