"Tabell 4A: Döda januari-juni 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
,,M,47,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,6,8,8,11,6,1
D47.0,"Histiocyt- och mastcellstumörer av osäker och okänd natur",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D47.1,"Kronisk myeloproliferativ sjukdom",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,-,-
D47.2,"Monoklonal gammopati av obestämd signifikans [MGUS]",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
D47.3,"Essentiell trombocytemi",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-
D47.4,Osteomyelofibros,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,1,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,-,1
D47.5,"Kronisk eosinofil leukemi [hypereosinofilt syndrom]",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D48.1,"Tumör av osäker eller okänd natur i bindväv och annan mjukvävnad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D48.3,"Tumör av osäker eller okänd natur i retroperitoneum",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
D48.5,"Tumör av osäker eller okänd natur i huden",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D48.7,"Tumör av osäker eller okänd natur i andra specificerade lokalisationer",Kv,13,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,3,2,4,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1
D48.9,"Ospecificerad lokalisation av tumör av osäker eller okänd natur",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,3,3,2
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-
"D50 - D89","KAP III. SJUKDOMAR I BLOD OCH BLODBILDANDE ORGAN SAMT VISSA RUBBNINGAR I IMMUNSYSTEMET",Kv,98,-,-,-,-,-,1,-,-,-,-,-,2,2,1,2,7,11,7,25,22,18
,,M,72,-,-,-,-,-,-,2,-,-,-,1,-,2,4,5,6,8,13,12,14,5
D50-D53,Nutritionsanemier,Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,5
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,2,-
D50.9,"Järnbristanemi, ospecificerad",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,5
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,2,-
D53.9,"Nutritionsanemi, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D55-D59,"Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar)",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D58.9,"Hereditär hemolytisk anemi, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D59.3,"Hemolytiskt-uremiskt syndrom",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D59.4,"Andra icke autoimmuna hemolytiska anemier",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D60-D64,"Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier",Kv,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,6,4,14,14,13
,,M,37,-,-,-,-,-,-,1,-,-,-,1,-,-,2,2,3,3,9,3,8,5
D61.9,"Aplastisk anemi, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
D62,"Anemi efter akut större blödning",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
D64.9,"Anemi, ospecificerad",Kv,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,5,4,14,14,13
,,M,33,-,-,-,-,-,-,1,-,-,-,1,-,-,1,2,2,3,8,2,8,5
D65-D69,"Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd",Kv,5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,1,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,4,2,-
D65,"Disseminerad intravasal koagulation [defibrineringssyndrom]",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
D66,"Ärftlig brist på faktor VIII",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D68.4,"Förvärvad brist på koagulationsfaktor",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D68.5,"Primär trombofili",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
D68.9,"Koagulationsrubbning, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D69.3,"Idiopatisk trombocytopen purpura",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
D69.6,"Trombocytopeni, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
D70-D77,"Andra sjukdomar i blod och blodbildande organ",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,1,-,1,3,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-
D70,Agranulocytos,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D72.1,Eosinofili,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
D73.5,Mjältinfarkt,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D75.8,"Andra specificerade sjukdomar i blod och blodbildande organ",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D75.9,"Sjukdom i blod och blodbildande organ, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-
D76.1,"Hemofagocytisk lymfohistiocytos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D80-D89,"Vissa rubbningar i immunsystemet",Kv,16,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,3,1,5,3,-
,,M,13,-,-,-,-,-,-,1,-,-,-,-,-,2,2,1,-,2,2,2,1,-
D80.4,"Selektiv brist på immunglobulin M [IgM]",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D81.0,"Svår kombinerad immunbrist [SCID] med retikulär dysgenesi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D82.1,"Di Georges syndrom",Kv,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D83.9,"Vanlig variabel immunbrist, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D84.9,"Immunbrist, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D86.0,Lungsarkoidos,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,2,-,-,1,-
D86.3,"Sarkoidos i huden",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D86.8,"Sarkoidos med andra och kombinerade lokalisationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D86.9,"Sarkoidos, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D89.9,"Sjukdom som engagerar immunsystemet, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
"E00 - E90","KAP IV. ENDOKRINA SJUKDOMAR, NUTRITIONSRUBBNINGAR OCH ÄMNESOMSÄTTNINGSSJUKDOMAR",Kv,750,1,2,-,-,1,-,-,-,1,1,3,7,9,20,26,60,91,125,163,150,90
,,M,769,3,3,-,-,-,-,4,1,1,3,5,17,25,44,67,106,123,130,119,93,25
E00-E07,"Sjukdomar i sköldkörteln",Kv,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,7,6,11
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
E03.5,Myxödemkoma,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E03.9,"Hypotyreos, ospecificerad",Kv,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,4,8
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E04.9,"Atoxisk struma, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-
E05.0,"Tyreotoxikos med diffus struma",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-
E05.9,"Tyreotoxikos, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
E07.9,"Sjukdom i sköldkörteln, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E10-E14,Diabetes,Kv,566,-,-,-,-,-,-,-,-,-,-,3,5,6,13,19,45,69,99,126,116,65
,,M,610,-,-,-,-,-,-,3,1,-,1,4,10,19,34,52,88,97,111,99,78,13
E10.0,"Diabetes mellitus typ 1-Med koma",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
,,M,5,-,-,-,-,-,-,2,-,-,-,-,-,2,1,-,-,-,-,-,-,-
E10.1,"Diabetes mellitus typ 1-Med ketoacidos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,5,-,-,-,-,-,-,-,1,-,-,-,-,2,1,1,-,-,-,-,-,-
E10.2,"Diabetes mellitus typ 1-Med njurkomplikationer",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,1,1,-,-
E10.5,"Diabetes mellitus typ 1-Med perifera cirkulationsrubbningar",Kv,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-
E10.6,"Diabetes mellitus typ 1-Med andra specificerade komplikationer",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,1,-,2,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-,1,-
E10.7,"Diabetes mellitus typ 1-Med multipla komplikationer",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,4,-,-,-
,,M,13,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,3,3,1,1,-,-
E10.8,"Diabetes mellitus typ 1-Med ospecificerade komplikationer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E10.9,"Diabetes mellitus typ 1-Utan komplikationer",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
E11.0,"Diabetes mellitus typ 2-Med koma",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E11.1,"Diabetes mellitus typ 2-Med ketoacidos",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E11.2,"Diabetes mellitus typ 2-Med njurkomplikationer",Kv,53,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,6,12,13,11,5
,,M,51,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,6,5,16,9,7,3
E11.3,"Diabetes mellitus typ 2-Med ögonkomplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E11.4,"Diabetes mellitus typ 2-Med neurologiska komplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E11.5,"Diabetes mellitus typ 2-Med perifera cirkulationsrubbningar",Kv,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,9,3,1
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,1,1,5,2
E11.6,"Diabetes mellitus typ 2-Med andra specificerade komplikationer",Kv,68,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,8,7,15,13,14,7
,,M,78,-,-,-,-,-,-,-,-,-,-,1,1,1,4,10,8,13,15,12,12,1
E11.7,"Diabetes mellitus typ 2-Med multipla komplikationer",Kv,42,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,4,7,7,6,9,6
,,M,67,-,-,-,-,-,-,-,-,-,-,-,-,1,6,3,11,12,7,15,10,2
E11.8,"Diabetes mellitus typ 2-Med ospecificerade komplikationer",M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
E11.9,"Diabetes mellitus typ 2-Utan komplikationer",Kv,86,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,9,15,21,20,15
,,M,57,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,7,8,14,11,8,3
E14.0,"Ospecificerad diabetes-Med koma",Kv,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,-,-
,,M,10,-,-,-,-,-,-,1,-,-,-,1,1,1,-,2,3,-,1,-,-,-
E14.1,"Ospecificerad diabetes-Med ketoacidos",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,-
,,M,12,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,5,-,-,-,-,-
E14.2,"Ospecificerad diabetes-Med njurkomplikationer",Kv,48,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,8,5,15,11,3
,,M,51,-,-,-,-,-,-,-,-,-,-,-,1,1,-,6,5,11,13,7,6,1
E14.5,"Ospecificerad diabetes-Med perifera cirkulationsrubbningar",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,2,2,2
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,1,3,2,2,-
E14.6,"Ospecificerad diabetes-Med andra specificerade komplikationer",Kv,70,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4,9,16,16,16,5
,,M,82,-,-,-,-,-,-,-,-,-,-,-,3,2,5,9,14,13,13,11,11,1
E14.7,"Ospecificerad diabetes-Med multipla komplikationer",Kv,41,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,7,4,7,7,8,3
,,M,70,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,12,18,11,15,8,-
E14.8,"Ospecificerad diabetes-Med ospecificerade komplikationer",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-
E14.9,"Ospecificerad diabetes-Utan komplikationer",Kv,81,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4,7,11,20,19,17
,,M,57,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,7,9,14,12,7,-
E15-E16,"Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
E16.2,"Hypoglykemi, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
E20-E35,"Sjukdomar i andra endokrina körtlar",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
,,M,5,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-
E21.0,"Primär hyperparatyreoidism",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E21.3,"Hyperparatyreoidism, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E23.0,Hypopituitarism,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E23.2,"Diabetes insipidus",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E24.9,"Cushings syndrom, ospecificerat",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E26.8,"Annan specificerad hyperaldosteronism",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E27.1,"Primär binjurebarksinsufficiens",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E40-E46,Näringsbrist,Kv,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,11,5,10,4
,,M,24,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,2,3,7,6
E41,"Svår energiundernäring",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
E43,"Icke specificerad svår undernäring",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1
E46,"Icke specificerad protein-energiundernäring",Kv,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,11,4,9,4
,,M,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,2,3,6,5
E50-E64,"Andra näringsbristtillstånd",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-
E51.2,"Wernickes encefalopati",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E61.1,Järnbrist,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E63.9,"Näringsbristtillstånd, ospecificerat",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E65-E68,"Fetma och andra övernäringstillstånd",Kv,24,-,-,-,-,-,-,-,-,-,-,-,-,1,5,2,4,3,2,5,-,2
,,M,24,-,-,-,-,-,-,-,-,1,1,-,3,2,2,5,4,3,1,2,-,-
E66.2,"Extrem fetma med alveolär hypoventilation",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,-,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,-,-
E66.9,"Fetma, ospecificerad",Kv,18,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,3,1,2,4,-,1
,,M,19,-,-,-,-,-,-,-,-,1,1,-,3,2,2,3,2,3,1,1,-,-
E70-E90,Ämnesomsättningssjukdomar,Kv,86,1,2,-,-,1,-,-,-,1,1,-,2,2,2,2,8,8,12,19,17,8
,,M,100,3,2,-,-,-,-,1,-,-,1,-,4,4,7,7,13,17,15,14,7,5
E71.0,"Maple-syrup-urine disease [MSUD]",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E72.0,"Rubbningar i aminosyratransporten",Kv,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E72.2,"Rubbningar i urinämnesomsättningen",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E72.4,"Rubbningar i ornitinomsättningen",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E74.0,Glykogeninlagringssjukdom,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E75.2,"Andra specificerade sfingolipidoser",Kv,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
E76.2,"Andra specificerade mukopolysackaridoser",Kv,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E77.1,"Brister i nedbrytningen av glykoprotein",M,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
E77.8,"Andra specificerade rubbningar i omsättningen av glykoprotein",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E78.0,"Isolerad hyperkolesterolemi",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
E78.5,"Hyperlipidemi, ospecificerad",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,5,2
,,M,18,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,3,3,2,2,-
E78.9,"Rubbning i omsättningen av lipoprotein, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1
E79.1,"Lesch-Nyhans syndrom",M,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E83.1,"Rubbningar i järnomsättningen",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E84.9,"Cystisk fibros, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E85.1,"Neuropatisk heredofamiljär amyloidos",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E85.2,"Heredofamiljär amyloidos, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E85.4,"Organbegränsad amyloidos",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,-,1,1,-
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,4,3,4,-,-
E85.8,"Annan amyloidos",Kv,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,2,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-
E85.9,"Amyloidos, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,2,-,-
E86,"Minskad vätskevolym",Kv,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,8,5,5
,,M,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,5,3
E87.0,"Hyperosmolalitet och hypernatremi",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1
E87.1,"Hyposmolalitet och hyponatremi",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E87.2,Acidos,Kv,7,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,4,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-
E87.5,Hyperkalemi,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E87.6,Hypokalemi,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
E87.8,"Andra elektrolyt- och vätskerubbningar som ej klassificeras på annan plats",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E88.0,"Rubbningar i plasmaproteinomsättningen som ej klassificeras på annan plats",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E88.8,"Andra specificerade ämnesomsättningssjukdomar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E88.9,"Ämnesomsättningssjukdom, ospecificerad",Kv,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"F00 - F99","KAP V. PSYKISKA SJUKDOMAR OCH BETEENDESTÖRNINGAR",Kv,2176,-,-,-,-,1,-,-,-,1,-,-,3,4,10,22,51,117,325,566,680,396
,,M,1319,-,-,-,-,-,-,-,-,-,3,3,7,15,25,40,77,143,279,370,270,87
F00-F09,"Organiska, inklusive symtomatiska, psykiska störningar",Kv,2076,-,-,-,-,-,-,-,-,-,-,-,1,-,4,9,37,106,312,553,666,388
,,M,1154,-,-,-,-,-,-,-,-,-,-,-,-,2,4,8,51,117,261,362,265,84
