"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D35.0,"Benign tumör i binjure",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
D35.1,"Benign tumör i paratyreoidea",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D35.2,"Benign tumör i hypofys",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1
D36.1,"Benign tumör i perifera nerver och autonoma nervsystemet",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-
D37–D48,"Tumörer av osäker eller okänd natur",Kv,413,-,-,-,-,-,-,-,-,-,-,1,2,3,9,12,30,47,80,96,133
,,M,424,-,-,1,-,-,-,-,1,-,2,1,3,6,16,20,42,66,95,107,64
D37.0,"Tumör av osäker eller okänd natur i läpp, munhåla och svalg",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
D37.1,"Tumör av osäker eller okänd natur i magsäcken",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
D37.2,"Tumör av osäker eller okänd natur i tunntarmen",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,2
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,2,2
D37.3,"Tumör av osäker eller okänd natur i appendix",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D37.4,"Tumör av osäker eller okänd natur i tjocktarmen",Kv,26,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,4,7,12
,,M,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,6,4
D37.5,"Tumör av osäker eller okänd natur i rektum",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
D37.6,"Tumör av osäker eller okänd natur i levern, gallblåsan och gallvägarna",Kv,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,4,10,7
,,M,33,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,8,8,5,6
D37.7,"Tumör av osäker eller okänd natur i andra matsmältningsorgan",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,6,2
,,M,16,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,2,4,2,4
D37.9,"Icke specificerad lokalisation av tumör av osäker eller okänd natur i matsmältningsorganen",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,3
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,3,1
D38.0,"Tumör av osäker eller okänd natur i larynx",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D38.1,"Tumör av osäker eller okänd natur i trakea, bronk och lunga",Kv,56,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,8,13,16,14
,,M,39,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,3,15,13,3
D38.2,"Tumör av osäker eller okänd natur i pleura",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D38.3,"Tumör av osäker eller okänd natur i mediastinum",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1
D38.5,"Tumör av osäker eller okänd natur i andra andningsorgan",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D38.6,"Icke specificerad lokalisation av tumör av osäker eller okänd natur i andningsorganen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D39.1,"Tumör av osäker eller okänd natur i ovarium",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4
D39.9,"Icke specificerad lokalisation av tumör av osäker eller okänd natur i de kvinnliga könsorganen",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
D40.0,"Tumör av osäker eller okänd natur i prostata",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D41.0,"Tumör av osäker eller okänd natur i njure",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,5
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,4,6
D41.1,"Tumör av osäker eller okänd natur i njurbäcken",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D41.2,"Tumör av osäker eller okänd natur i uretär",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D41.4,"Tumör av osäker eller okänd natur i urinblåsan",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3,3,-
D41.9,"Icke specificerad lokalisation av tumör av osäker eller okänd natur i urinorganen",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
D42.0,"Tumör av osäker eller okänd natur i hjärnhinnor",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D43.0,"Tumör av osäker eller okänd natur i hjärnan, supratentoriell lokalisation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-
D43.1,"Tumör av osäker eller okänd natur i hjärnan, infratentoriell lokalisation",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-
D43.2,"Tumör av osäker eller okänd natur med icke specificerad lokalisation i hjärnan",Kv,59,-,-,-,-,-,-,-,-,-,-,1,1,-,2,3,6,10,12,12,12
,,M,65,-,-,-,-,-,-,-,-,-,2,-,-,1,1,6,7,10,18,12,8
D43.4,"Tumör av osäker eller okänd natur i ryggmärgen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D43.9,"Icke specificerad lokalisation av tumör av osäker eller okänd natur i centrala nervsystemet",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D44.0,"Tumör av osäker eller okänd natur i tyreoidea",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D44.1,"Tumör av osäker eller okänd natur i binjure",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
D44.3,"Tumör av osäker eller okänd natur i hypofysen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,2
D44.4,"Tumör av osäker eller okänd natur i ductus craniopharyngealis",M,3,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-
D45,"Polycythaemia vera (sjuklig ökning av antalet röda blodkroppar)",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,-,7
,,M,10,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,2,2,2
D46.1,"Refraktär anemi med ringsideroblaster",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D46.2,"Refraktär anemi med överskott av blastceller [RAEB]",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
D46.6,"Myelodysplastiskt syndrom med isolerad kromosomavvikelse av typ del(5q)",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D46.9,"Myelodysplastiskt syndrom, ospecificerat",Kv,60,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,8,4,13,9,21
,,M,98,-,-,-,-,-,-,-,-,-,-,-,1,-,3,4,20,14,18,21,17
D47.1,"Kronisk myeloproliferativ sjukdom",Kv,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,7,6
,,M,8,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,2,2,1
D47.2,"Monoklonal gammopati av obestämd signifikans [MGUS]",Kv,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,2,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
D47.3,"Essentiell trombocytemi",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-
D47.4,Osteomyelofibros,Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,3,1,-,-
,,M,22,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,6,5,5,2
D47.9,"Icke specificerad tumör av osäker eller okänd natur i lymfatisk, blodbildande och besläktad vävnad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D48.1,"Tumör av osäker eller okänd natur i bindväv och annan mjukvävnad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
D48.3,"Tumör av osäker eller okänd natur i retroperitoneum",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D48.5,"Tumör av osäker eller okänd natur i huden",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D48.6,"Tumör av osäker eller okänd natur i bröstkörtel",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
D48.7,"Tumör av osäker eller okänd natur i andra specificerade lokalisationer",Kv,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,7,16
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,6,1
D48.9,"Icke specificerad lokalisation av tumör av osäker eller okänd natur",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,4,4
,,M,13,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,3,2,4,-
"D50 – D89","KAP III. SJUKDOMAR I BLOD OCH BLODBILDANDE ORGAN SAMT VISSA RUBBNINGAR I IMMUNSYSTEMET",Kv,190,-,1,-,-,-,1,1,1,-,1,2,1,-,6,7,10,13,21,38,87
,,M,158,1,3,-,2,-,1,2,-,-,1,1,2,4,9,5,15,18,21,28,45
D50–D53,Nutritionsanemier,Kv,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,7,20
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,3
D50.0,"Järnbristanemi sekundär till kronisk blodförlust",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D50.9,"Järnbristanemi, ospecificerad",Kv,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,13
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
D51.0,"Anemi på grund av vitamin B12-brist",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
D52.9,"Folatbristanemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D53.9,"Nutritionsanemi, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
D55–D59,"Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar)",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-
,,M,8,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,2
D57.1,"Sicklecellsanemi utan kris",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D58.9,"Hereditär hemolytisk anemi, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
D59.1,"Andra autoimmuna hemolytiska anemier",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
D59.3,"Hemolytiskt-uremiskt syndrom",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D59.4,"Andra icke autoimmuna hemolytiska anemier",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D59.9,"Förvärvad hemolytisk anemi, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D60–D64,"Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier",Kv,106,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,3,8,10,22,59
,,M,64,-,-,-,1,-,-,-,-,-,1,-,-,1,1,2,7,7,5,10,29
D60.9,"Förvärvad isolerad aplasi av röda blodkroppar, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D61.9,"Aplastisk anemi, ospecificerad",Kv,13,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,1,2,2,4,-
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,3,1,-,3
D62,"Anemi efter akut större blödning",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
D64.0,"Hereditär sideroblastisk anemi",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D64.9,"Anemi, ospecificerad",Kv,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,8,17,59
,,M,47,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,3,4,2,9,26
D65–D69,"Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,2,1,4
,,M,18,-,-,-,-,-,-,1,-,-,-,-,-,1,2,-,-,3,4,4,3
D65,"Disseminerad intravasal koagulation [defibrineringssyndrom]",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D66,"Ärftlig brist på faktor VIII",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D68.4,"Förvärvad brist på koagulationsfaktor",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D68.5,"Primär trombofili",M,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
D68.9,"Koagulationsrubbning, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-
D69.3,"Idiopatisk trombocytopen purpura",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1
D69.6,"Trombocytopeni, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,1
D70–D77,"Andra sjukdomar i blod och blodbildande organ",Kv,15,-,-,-,-,-,-,1,-,-,1,1,-,-,1,2,-,-,3,5,1
,,M,18,-,2,-,-,-,1,1,-,-,-,-,-,1,-,-,3,2,4,1,3
D70,Agranulocytos,Kv,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,3,1,-
,,M,7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,-
D75.1,"Sekundär polycytemi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D75.8,"Andra specificerade sjukdomar i blod och blodbildande organ",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D75.9,"Sjukdom i blod och blodbildande organ, ospecificerad",Kv,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3
D76.1,"Hemofagocytisk lymfohistiocytos",Kv,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-
,,M,3,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
D76.3,"Andra histiocytossyndrom",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D80–D89,"Vissa rubbningar i immunsystemet",Kv,23,-,1,-,-,-,1,-,-,-,-,1,-,-,2,2,3,3,4,3,3
,,M,41,1,1,-,-,-,-,-,-,-,-,1,2,1,5,2,4,6,5,8,5
D80.1,"Icke familjär hypogammaglobulinemi",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D81.0,"Svår kombinerad immunbrist med retikulär dysgenesi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D81.1,"Svår kombinerad immunbrist med lågt antal T- och B-celler",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D81.9,"Kombinerad immunbrist, ospecificerad",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D82.1,"Di Georges syndrom",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
D84.8,"Annan specificerad immunbrist",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D84.9,"Immunbrist, ospecificerad",Kv,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1
D86.0,Lungsarkoidos,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,-,1
,,M,11,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,4,-,2,-
D86.8,"Sarkoidos med andra och kombinerade lokalisationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
D86.9,"Sarkoidos, ospecificerad",Kv,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,1
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,-,1,1,1
D89.8,"Andra specificerade sjukdomar som engagerar immunsystemet som ej klassificeras annorstädes",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D89.9,"Sjukdom som engagerar immunsystemet, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,5,2
"E00 – E90","KAP IV. ENDOKRINA SJUKDOMAR, NUTRITIONSRUBBNINGAR OCH ÄMNESOMSÄTTNINGSSJUKDOMAR",Kv,1 393,7,3,1,-,-,6,-,3,2,5,11,11,32,36,66,112,167,241,292,398
,,M,1 451,3,1,-,-,1,4,4,5,5,10,15,35,47,76,120,183,214,273,249,206
E00–E07,"Sjukdomar i sköldkörteln",Kv,45,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,4,7,9,20
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,3,5
E03.5,Myxödemkoma,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E03.9,"Hypotyreos, ospecificerad",Kv,33,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,6,7,16
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3
E04.9,"Atoxisk struma, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
E05.5,"Tyreotoxisk kris",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E05.9,"Tyreotoxikos, ospecificerad",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
E07.9,"Sjukdom i sköldkörteln, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E10–E14,"Diabetes (sockersjuka)",Kv,1 050,-,1,-,-,-,-,-,2,1,2,7,7,25,24,53,77,130,188,230,303
,,M,1 186,-,-,-,-,1,3,3,4,3,6,9,27,32,65,97,144,175,234,210,173
E10.0,"Diabetes mellitus typ 1 med koma",Kv,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-
,,M,14,-,-,-,-,1,2,2,3,-,4,-,1,-,-,1,-,-,-,-,-
E10.1,"Diabetes mellitus typ 1 med acidos eller hyperosmolaritet (utan koma)",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1
,,M,4,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-
E10.2,"Diabetes mellitus typ 1 med njurkomplikationer",Kv,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,3,-,-,1,1
,,M,10,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,3,3,-,-,-
E10.4,"Diabetes mellitus typ 1 med neurologiska komplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E10.5,"Diabetes mellitus typ 1 med perifera kärlkomplikationer",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E10.6,"Diabetes mellitus typ 1 med andra specificerade komplikationer",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,4,-,-
,,M,13,-,-,-,-,-,-,-,-,1,-,-,1,1,2,4,3,-,1,-,-
E10.7,"Diabetes mellitus typ 1 med multipla komplikationer",Kv,22,-,-,-,-,-,-,-,-,-,1,-,1,3,2,5,1,2,2,3,2
,,M,24,-,-,-,-,-,-,-,-,-,-,1,2,2,1,6,6,3,2,1,-
E10.8,"Diabetes mellitus typ 1 med icke specificerade komplikationer",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
E10.9,"Diabetes mellitus typ 1 utan (uppgift om) komplikationer",Kv,4,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-
,,M,11,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,3,5,-,-
E11.0,"Diabetes mellitus typ 2 med koma",Kv,8,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,2,1,1,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-
E11.1,"Diabetes mellitus typ 2 med acidos eller hyperosmolaritet (utan koma)",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-
E11.2,"Diabetes mellitus typ 2 med njurkomplikationer",Kv,59,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,6,4,15,16,15
,,M,85,-,-,-,-,-,-,-,-,1,-,-,1,1,-,8,10,13,17,16,18
E11.3,"Diabetes mellitus typ 2 med ögonkomplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-
E11.4,"Diabetes mellitus typ 2 med neurologiska komplikationer",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
E11.5,"Diabetes mellitus typ 2 med perifera kärlkomplikationer",Kv,27,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,4,10,5,6
,,M,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,6,7,6
E11.6,"Diabetes mellitus typ 2 med andra specificerade komplikationer",Kv,95,-,-,-,-,-,-,-,-,-,-,1,-,2,5,2,5,15,17,20,28
,,M,131,-,-,-,-,-,-,-,-,-,-,1,1,4,11,15,20,18,23,27,11
E11.7,"Diabetes mellitus typ 2 med multipla komplikationer",Kv,77,-,-,-,-,-,-,-,-,-,-,1,1,1,2,5,7,11,13,17,19
,,M,115,-,-,-,-,-,-,-,-,-,-,1,-,2,7,11,8,26,27,22,11
E11.8,"Diabetes mellitus typ 2 med icke specificerade komplikationer",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,5,5
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,4,2,2
E11.9,"Diabetes mellitus typ 2 utan (uppgift om) komplikationer",Kv,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,11,25,47
